I 08/19/2011 14:05:05:872 00001d60      Rhodes.cpp: 178| Rhodes started
I 08/19/2011 14:05:05:872 0000193c         AppCallbacks| Starting main routine...
I 08/19/2011 14:05:05:872 0000193c         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:05:05:882 00001d60            RhodesApp| Trying to get free listening port.
I 08/19/2011 14:05:05:884 00001d60            RhodesApp| Trying to bind of 0 port...
I 08/19/2011 14:05:05:884 00001d60            RhodesApp| Got port to bind on: 54025
I 08/19/2011 14:05:05:884 00001d60            RhodesApp| Free listening port: 54025
I 08/19/2011 14:05:05:989 00001d60            RhodesApp| callAppActiveCallback
I 08/19/2011 14:05:05:989 00001d60         AppCallbacks| addCommand: APP-ACTIVATED
I 08/19/2011 14:05:05:989 0000193c         AppCallbacks| Received command APP-ACTIVATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 08/19/2011 14:05:05:989 0000193c         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:05:05:992 00001d60         AppCallbacks| addCommand: UI-CREATED
I 08/19/2011 14:05:05:992 0000193c         AppCallbacks| Received command UI-CREATED which is greater than expected (LOCAL-SERVER-STARTED) - postpone it
I 08/19/2011 14:05:05:992 00001d60      MainWindowProxy| navigate: 'about:blank'
I 08/19/2011 14:05:05:992 0000193c         AppCallbacks| ThreadQueue blocked for 300 seconds...
I 08/19/2011 14:05:05:992 00001d60           MainWindow| WebView: loading...
I 08/19/2011 14:05:05:992 00001d54            RhodesApp| Starting RhodesApp main routine...
I 08/19/2011 14:05:05:992 00001d60           MainWindow| WebView: URL changed
I 08/19/2011 14:05:05:994 00001d60           MainWindow| WebView: loaded 
I 08/19/2011 14:05:05:994 000013c8       ClientRegister| ClientRegister start
I 08/19/2011 14:05:05:994 000013c8       ClientRegister| Waiting for 60 sec to try again to register client
I 08/19/2011 14:05:05:994 000013c8       ClientRegister| Waiting for 60 sec to try again to register client
I 08/19/2011 14:05:05:999 00001d54              RhoRuby| Init_RhoBlobs: C:/Users/ffurtmueller/workspace/git/MyDailyRhodes/MyDailyRhodes\rhosimulator/db/db-files
I 08/19/2011 14:05:06:002 00001d54              RhoRuby| require_compiled: rhoframework
I 08/19/2011 14:05:06:004 00001d54              RhoRuby| require_compiled: rational
I 08/19/2011 14:05:06:007 00001d54              RhoRuby| require_compiled: rhom/rhom_db_adapter
I 08/19/2011 14:05:06:012 00001d54              RhoRuby| require_compiled: rhodes
I 08/19/2011 14:05:06:014 00001d54              RhoRuby| require_compiled: rhom/rhom_object
I 08/19/2011 14:05:06:017 00001d54              RhoRuby| require_compiled: rhofsconnector
I 08/19/2011 14:05:06:019 00001d54              RhoRuby| require_compiled: rho/rhofsconnector
I 08/19/2011 14:05:06:022 00001d54              RhoRuby| require_compiled: rhom/rhom_object_factory
I 08/19/2011 14:05:06:049 00001d54              RhoRuby| require_compiled: rhom/rhom
I 08/19/2011 14:05:06:052 00001d54              RhoRuby| require_compiled: rhom/rhom_model
I 08/19/2011 14:05:06:054 00001d54              RhoRuby| require_compiled: rhom
I 08/19/2011 14:05:06:057 00001d54              RhoRuby| require_compiled: rho/rhoapplication
I 08/19/2011 14:05:06:059 00001d54              RhoRuby| require_compiled: rholang/localization_simplified
I 08/19/2011 14:05:06:062 00001d54                  APP| Current locale: de; Country code: at
I 08/19/2011 14:05:06:064 00001d54                  APP| file: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/lang_
I 08/19/2011 14:05:06:064 00001d54                  APP| Could not find resources for locale: de;file: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/lang_
I 08/19/2011 14:05:06:064 00001d54                  APP| Load english resources.
I 08/19/2011 14:05:06:064 00001d54              RhoRuby| require_compiled: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/lang_en
I 08/19/2011 14:05:06:067 00001d54              RhoRuby| require_compiled: rho/rhomsg
I 08/19/2011 14:05:06:069 00001d54                  APP| Current locale: de; Country code: at
I 08/19/2011 14:05:06:069 00001d54                  APP| file: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/rhomsg_
I 08/19/2011 14:05:06:069 00001d54              RhoRuby| require_compiled: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/rhomsg_de
I 08/19/2011 14:05:06:072 00001d54              RhoRuby| require_compiled: rho/rhotabbar
I 08/19/2011 14:05:06:074 00001d54              RhoRuby| require_compiled: rho/rhotoolbar
I 08/19/2011 14:05:06:074 00001d54              RhoRuby| require_compiled: indifferent_access
I 08/19/2011 14:05:06:079 00001d54              RhoRuby| require_compiled: rho/rhosupport
I 08/19/2011 14:05:06:082 00001d54              RhoRuby| require_compiled: rho/rhocontroller
I 08/19/2011 14:05:06:087 00001d54              RhoRuby| require_compiled: rho/render
I 08/19/2011 14:05:06:092 00001d54              RhoRuby| require_compiled: rho/rho
I 08/19/2011 14:05:06:112 00001d54              RhoRuby| require_compiled: rho/rhoerror
I 08/19/2011 14:05:06:114 00001d54                  APP| Current locale: de; Country code: at
I 08/19/2011 14:05:06:114 00001d54                  APP| file: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/rhoerror_
I 08/19/2011 14:05:06:114 00001d54              RhoRuby| require_compiled: C:/InstantRhodes/ruby/lib/ruby/gems/1.8/gems/rhodes-3.0.2/lib/framework/rholang/rhoerror_de
I 08/19/2011 14:05:06:117 00001d54              RhoRuby| require_compiled: rhom/rhom_source
E 08/19/2011 14:05:06:122 00001d54              RhoRuby| require_compiled: error: can not find rhodes_translator
I 08/19/2011 14:05:06:122 00001d54              RhoRuby| require_compiled: rho/rhoviewhelpers
I 08/19/2011 14:05:06:124 00001d54              RhoRuby| require_compiled: rho
I 08/19/2011 14:05:06:127 00001d54              RhoRuby| require_compiled: debugger
I 08/19/2011 14:05:06:134 00001d54              RhoRuby| require_compiled: uri
I 08/19/2011 14:05:06:137 00001d54              RhoRuby| require_compiled: uri/common
I 08/19/2011 14:05:06:147 00001d54              RhoRuby| require_compiled: uri/generic
I 08/19/2011 14:05:06:157 00001d54              RhoRuby| require_compiled: uri/ftp
I 08/19/2011 14:05:06:162 00001d54              RhoRuby| require_compiled: uri/http
I 08/19/2011 14:05:06:164 00001d54              RhoRuby| require_compiled: uri/https
I 08/19/2011 14:05:06:167 00001d54              RhoRuby| require_compiled: uri/ldap
I 08/19/2011 14:05:06:169 00001d54              RhoRuby| require_compiled: uri/ldaps
I 08/19/2011 14:05:06:172 00001d54              RhoRuby| require_compiled: uri/mailto
I 08/19/2011 14:05:06:174 00001d54              RhoRuby| require_compiled: timeout
I 08/19/2011 14:05:06:177 00001d54                  APP| [Debugger] Opening connection
